Name,Agent1,Agent2,Total Rounds,Weighted KPR,Weighted KAST,Weighted FKPR,Weighted FDPR,Odds Difference,Average Opposing KPR,Average Opposing KAST,Average Opposing FKPR,Average Opposing FDPR,Recent Kill Average,Actual Kills
stax,13,8,168,0.5617261904761905,76.91071428571429,0.05,0.08,0.6244539844378858,0.7176326530612245,78.81326530612246,0.07912244897959184,0.0747142857142857,24.333333333333332,25
buzz,18,12,245,0.856938775510204,78.00816326530612,0.2067755102040816,0.1733469387755102,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,35.333333333333336,34
invy,13,2,238,0.7233193277310924,80.69747899159664,0.05302521008403362,0.04878151260504202,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,32.333333333333336,37
jessievash,22,8,298,0.7018791946308723,72.38255033557047,0.06993288590604027,0.0540268456375839,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,21.333333333333332,26
jremy,18,12,338,0.8292011834319526,75.5680473372781,0.24189349112426037,0.2397337278106509,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,32.666666666666664,28
ndg,6,14,338,0.6722485207100591,69.88757396449704,0.09218934911242604,0.05887573964497042,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,26.666666666666668,20
borkum,16,23,338,0.6724260355029587,73.18934911242603,0.07837278106508876,0.057840236686390545,0.6244539844378858,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,27.666666666666668,21
laz,4,14,275,0.7741090909090909,71.76727272727273,0.14945454545454545,0.08643636363636364,2.1542782699322567,0.7625418060200669,71.06354515050167,0.14387959866220737,0.08270903010033447,71.66666666666667,149
dep,12,17,192,0.8158854166666667,69.171875,0.14,0.14531249999999998,2.1542782699322567,0.7909698996655519,71.23745819397993,0.14561872909698997,0.11759197324414716,35.333333333333336,43
yuran,23,22,231,0.690909090909091,68.11688311688312,0.07792207792207792,0.08402597402597403,2.1542782699322567,0.7545150501672241,69.96098104793758,0.1201783723522854,0.10761426978818284,27.666666666666668,25
sugarz3ro,16,23,254,0.7144094488188976,78.30708661417323,0.04133858267716536,0.07692913385826772,2.1542782699322567,0.7367976588628762,71.69481605351172,0.10297658862876255,0.09953177257525084,32.0,22
hiroronn,13,22,192,0.5681250000000001,70.11458333333333,0.06645833333333333,0.13354166666666667,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,24.0,29
blazek1ng,23,22,285,0.6553684210526316,71.6280701754386,0.11140350877192982,0.06140350877192982,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,17.0,17
polvi,12,18,285,0.7352280701754386,70.03508771929825,0.18778947368421056,0.17964912280701756,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,27.333333333333332,25
lightningfast,16,20,276,0.7044927536231884,71.34057971014492,0.08637681159420289,0.08681159420289855,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,33.666666666666664,30
russ,13,9,200,0.71815,71.635,0.08455,0.09820000000000001,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,31.666666666666668,27
benkai,14,6,288,0.6002083333333332,70.17013888888889,0.06149305555555556,0.06340277777777777,2.1542782699322567,0.7006421404682274,71.90635451505018,0.09494983277591974,0.10412709030100334,24.333333333333332,21
natank,17,20,130,0.9219230769230768,70.11538461538461,0.16615384615384615,0.14461538461538462,0.19133333333333358,0.9075974025974025,70.87662337662337,0.15272727272727274,0.14857142857142858,35.666666666666664,45
wailers,6,23,115,0.4453913043478261,60.07826086956522,0.05921739130434783,0.08104347826086956,0.19133333333333358,0.6783441558441559,67.24025974025975,0.10480519480519482,0.10834415584415585,15.0,23
beyaz,13,22,118,0.6235593220338983,72.16949152542372,0.06525423728813559,0.08983050847457628,0.19133333333333358,0.6570129870129869,68.47402597402598,0.08874458874458875,0.1019047619047619,23.333333333333332,38
